,vaga,empresa,localização,salário,requisitos,job_url
44,GOL Linhas Aéreas,GOL Linhas Aéreas,"Hybrid remote in São Paulo, SP",,"Conhecimento em Estatística, Programação (DEV), Phyton, SQL, PowerBI, VBA.Segurança é nosso valor nº 1, por conta disso, para dar sequencia em nosso processo…",
45,Analista de Gente e Cultura – (Ciência de dados),GOL Linhas Aéreas,"Hybrid remote in São Paulo, SP",,"Conhecimento em Estatística, Programação (DEV), Phyton, SQL, PowerBI, VBA.Segurança é nosso valor nº 1, por conta disso, para dar sequencia em nosso processo…",
46,Analista de Qualidade de Dados - HIVE/TERADATA,EY,"São Paulo, SP",,"Irá realizar o monitoramento de qualidade de dados;Experiência com uso de ferramentas MS Office (Power Point, Word, Excel e Project);",
47,Analista de Programação,Dream Griffes,"Home office in São Paulo, SP",R$ 4.000 - R$ 6.491 por mês,"API REST, Entity Framework Core ou nHibernate, Bancos de dados MS SQL SERVER ou ORACLE;NET Core(C#), ANGULAR CLI, WEB.",
48,Analista de Cadastro,Mobly,"São Paulo, SP",,"Atuar no fluxo das informações e follow-up com as áreas correlatas.Ensino superior cursando/completo em Administração, Publicidade e Propaganda, Marketing ou…",
49,Analista de Governança de Dados,SBF - Vagas Tecnologia,"Home office in São Paulo, SP",,"Validar metadados e identificar melhorias em boas práticas de metadados (padronizações, dicionário de dados, enriquecimento);",
50,Analista de Infraestrutura operacional,CCR AEROPORTO,"Home office in São Paulo, SP",R$ 8.000 - R$ 9.000 por mês,"Para o trabalho, para uma entrega, para as férias, para casa, mover-se é uma necessidade básica.Fundada em *1.999*, a CCR atua no segmento de concessão de …",
51,Analista de Dados Júnior (Indicadores e follow-up),Duratex,"São Paulo, SP",,O nascimento da Hydra é marcado pela Inovação.Experiência com SAP módulo MM (desejável);,
52,Analista de Operações Jr,Frubana,"São Paulo, SP",R$ 1.514 - R$ 2.900 por mês,"Realizar análises de investigações correspondentes a desvios operacionais, de qualidade e resultados fora de especificação.",
53,Analista de Planejamento e Controle,IBIOBI,"Home office in São Paulo, SP",R$ 3.300 por mês,"Extração, preparação e modelagem de dados.Nós somos a Ibiobi smart club.Que tenha comprometimento com a qualidade das análises.",
54,Analista de Assunto Regulatório Jr,Química Anastacio,"São Paulo, SP",,"Manter mapeamento das legislações atinentes as atividades/segmentos da empresa, garantindo a legalidade dos processos.",
55,ANALISTA DE INTELIGENCIA ESTATÍSTICA JUNIOR / PLENO,Clearsale,"Home office in São Paulo, SP",,"Ideal que tenha experiência em análise de dados;Trabalho com grandes volumes de dados com extração e manipulação de grandes conjuntos de dados, usando…",
56,Analista de Governança de Dados,Dasa Tecnologia,"Home office in São Paulo, SP",,Conhecimento de SQL e manipulação de dados;Conhecimentos em Python para manipulação de dados (Desejável);Estruturação de processos de qualidade de dados;,
57,Analista de Governança de TI Júnior,Experian,"São Paulo, SP",,"Portanto, acreditamos que trabalhar conectados como um time único e em um ambiente dinâmico e desafiador é extremamente importante para o crescimento pessoal e…",
58,Analista de Diligências Jr.,ICTS PROTIVITI,"Home office in Barueri, SP",,Experiência profissional ou acadêmica em pesquisas;Nível superior completo em qualquer curso (preferencialmente em direito).,
59,Analista de Pesquisa de Mercado - Consolação,Jobbol,"São Paulo, SP",R$ 7.000 por mês,"Fundação de pesquisa admite Analista de Pesquisa de Mercado em São Paulo (Consolação) para atuar em Tempo integral, Comercial. Coletar dados, consolidar…",
60,Vagas de emprego: Jobbol,Jobbol,"São Paulo, SP",R$ 7.000 por mês,"Fundação de pesquisa admite Analista de Pesquisa de Mercado em São Paulo (Consolação) para atuar em Tempo integral, Comercial. Coletar dados, consolidar…",
61,Grupo Ri Happy,Grupo Ri Happy,"Hybrid remote in São Paulo, SP",,"Conhecimento em Sistemas Operacionais Windows, Linux, Mac;Day off no dia do seu aniversário.",
62,Vagas de emprego: Banco Next,Banco Next,"São Paulo, SP",,"Saber tratabalhar em equipe, mentorar outros analistas e contribuir para o crescimento do time mantendo sempre um ambiente colaborativo;",
63,Banco Sofisa,Banco Sofisa,"São Paulo, SP",,Todas as nossas vagas são abertas para pessoas com deficiência!,
