,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
47,Desenvolvedor(a) Python Pleno,Experian,"São Paulo, SP",,Postedhá 5 dias,2022-05-01,"Portanto, acreditamos que trabalhar conectados como um time único e em um ambiente dinâmico e desafiador é extremamente importante para o crescimento pessoal e…",https://www.br.indeed.com/rc/clk?jk=ccdafc35adb42ffd&fccid=75a3a5a15b202084&vjs=3
48,Analista de banco de dados Jr.,Allcare Gestora de Saúde,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Criação de novas rotinas de ETL.,https://www.br.indeed.com/rc/clk?jk=777d595a337da7fe&fccid=bb4f2291d60fc382&vjs=3
49,Especialista Programador(a) em Python,DATAB,"São Caetano do Sul, SP",,Postedhá 1 dia,2022-05-01,"Como principal atividade, esse profissional ensinará e repassará essa paixão para outras pessoas por meio da produção de conteúdo técnico educacional sobre a…",https://www.br.indeed.com/rc/clk?jk=605d7221d9c2d0d3&fccid=9dea647c646e3417&vjs=3
50,QA Tester Python SR,RHTALENTOS.TEC,"Home office in São Paulo, SP",R$ 8.000 - R$ 20.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,"Kanban, Scrum, Jira, Confluence, BDD - Behavior Driven Development, Gherking, SQL, Modelagem de dados relacional, Cloud-AWS, API, Json, Python, Postman, Swagger…",https://www.br.indeed.com/company/RHTALENTOS.TEC/jobs/QA-Tester-Python-Senior-5687f699c2563225?fccid=e8ec5cee07a15067&vjs=3
51,Analista Júnior - Estratégia,ITAPEVA Recuperação de Créditos,"São Paulo, SP",R$ 3.500 por mês,Postedhá 30+ dias,2022-05-01,"Recém formados em exatas (Ex.: Engenharia, Matemática, Física);",https://www.br.indeed.com/rc/clk?jk=dead29bb48272f72&fccid=4bda090c393d045d&vjs=3
52,CIENTISTA DE DADOS,Centro de Excelência Votorantim BR,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Buscamos por cientistas de dados para integrar o time do Centro de Excelência Votorantim na área de Data Analytics.Banco de Dados e SQL;,https://www.br.indeed.com/rc/clk?jk=5028114cc0200941&fccid=7de668657fe22211&vjs=3
53,Data Scientist - Cientista de Dados,Capim,"Home office in São Paulo, SP",R$ 8.000 - R$ 10.000 por mês,EmployerAtiva 2 dias atrás,2022-05-01,Somos uma fintech que está transformando os serviços financeiros no setor de saúde no Brasil.Definir técnicas e abordagens para os problemas de data science…,https://www.br.indeed.com/company/Capim/jobs/Data-Scientist-f5e258000a4bfa80?fccid=0a5d7b98d581e8cb&vjs=3
54,Bolsa Treinamento Técnico TT-5 Especialista em Informática,IFT-UNESP,"São Paulo, SP",R$ 8.468 por mês,EmployerAtiva 3 dias atrás,2022-05-01,"A implantação será feita em colaboração com o instituto ICTP em Trieste, Itália (www.ictp.it).",https://www.br.indeed.com/company/ICTP--SAIFR/jobs/Bolsa-Treinamento-T%C3%A9cnico-Tt-Especialista-Inform%C3%A1tica-6988687584719999?fccid=354cd46341f3ee9b&vjs=3
55,OPERADOR DE MESA JUNIOR - TRADER,Banco Master,"São Paulo, SP",,Postedhá 4 dias,2022-05-01,Boletar operações realizadas pela tesouraria;,https://www.br.indeed.com/rc/clk?jk=7553ec1e805d26c1&fccid=d4aad7adc82f9a32&vjs=3
56,Estagiário - Business Intelligence,Cescon Barrieu,"São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Aqui você encontra um ambiente amigável e muitas oportunidades para trabalhar em operações e nos casos mais interessantes e relevantes do Brasil.,https://www.br.indeed.com/rc/clk?jk=fd901fc5dfb37033&fccid=a9e5c0b1dcea2f40&vjs=3
57,TypeScript+ Webdriver Developer,Wipro Limited,"São Paulo, SP",,Postedhá 24 dias,2022-05-01,Experience in testing distributed Cloud based applications.Understand existing test cases and develop new ones.Good understanding of CI/CD pipeline.,https://www.br.indeed.com/rc/clk?jk=79b5dc998acd97db&fccid=8d25321c1defe73f&vjs=3
58,Estagiário de Risco e Modelagem,C&A,"Home office in Barueri, SP",,Postedhá 12 dias,2022-05-01,"Validar e monitorar todos os modelos em produção, garantindo a performance dos modelos dentro dos parâmetros pré-estabelecidos e fazer os ajustes e retreinos…",https://www.br.indeed.com/rc/clk?jk=3f649315d953594e&fccid=a4cd2f6890a2a328&vjs=3
59,Analista Segurança da Informação Junior,Itaú,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"Analisar e acompanhar o Ciclo de Concessão de Acessos de maneira a garantir a sua efetividade, conclusão nos prazos pré-estabelecidos e retroalimentação ao…",https://www.br.indeed.com/rc/clk?jk=bac1bbab890558d1&fccid=df3b23afae2f3514&vjs=3
60,Analista Segurança da Informação Junior,Itaú,"São Paulo, SP",,Postedhá 17 dias,2022-05-01,"Analisar e acompanhar o Ciclo de Concessão de Acessos de maneira a garantir a sua efetividade, conclusão nos prazos pré-estabelecidos e retroalimentação ao…",https://www.br.indeed.com/rc/clk?jk=bac1bbab890558d1&fccid=df3b23afae2f3514&vjs=3
61,Desenvolvedor(a) Python Senior [REMOTO],Instruct,"Home office in São Paulo, SP",R$ 9.000 - R$ 12.000 por mês,Postedhá 30+ dias,2022-05-01,Buscamos profissional que tenha pelo menos 6 anos de experiência desenvolvendo software e consiga ensinar o time a partir dessas experiências.,https://www.br.indeed.com/rc/clk?jk=30e55fbc919d7d90&fccid=a9f9655d46e772fb&vjs=3
62,Desenvolvedor Python SR,Luby Software,"São Paulo, SP",,Postedhá 10 dias,2022-05-01,"4+ anos em desenvolvimento de softwares ou experiência comprovada em grandes projetos.Conhecimentos em ferramentas da suíte Apache (Airflow, Solr, FluentD).",https://www.br.indeed.com/rc/clk?jk=1285657ac2b87b27&fccid=5b605415b403a24b&vjs=3
63,JBS - Especialista de Energia Elétrica,JBS,"São Paulo, SP",,Postedhá 12 dias,2022-05-01,Relacionamento com todas concessionárias que atendem nossas unidades;Gestão de consumo das unidades no Ambiente de Contratação Livre;,https://www.br.indeed.com/rc/clk?jk=e121f5cad5faa8af&fccid=b8ee0337c9362d13&vjs=3
64,Estágio em Desenvolvimento de Web no Magroove,Magroove Serviços Digitais,"Home office in São Paulo, SP",R$ 999 - R$ 1.000 por mês,Contratações frequentes,2022-05-01,Nosso objetivo é ajudar artistas independentes a monetizar seu trabalho com uma plataforma web que concentra diversas ferramentas que eles vão precisar no…,https://www.br.indeed.com/company/Magroove/jobs/Est%C3%A1gio-Desenvolvimento-Web-Magroove-0402c882877fb8dd?fccid=abcb13b1c06f352b&vjs=3
65,Junior Machine Learning Engineer,Gympass,"Home office in São Paulo, SP",,Postedhá 3 dias,2022-05-01,"Our team is responsible for providing our users with the tools they need to discover Gympass products and services that best fits their interests, such as gyms,…",https://www.br.indeed.com/rc/clk?jk=2f83d2bff8c130f0&fccid=ff4e5bc9a5a00195&vjs=3
66,Desenvolvedor (a) Full Stack Python,Bravi,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-01,Sempre temos mais o que aprender.,https://www.br.indeed.com/rc/clk?jk=efda8a3e12e66dbe&fccid=ea733cebd32530ea&vjs=3
67,Data Scientist - LATAM,Signifyd,"Home office in São Paulo, SP",,Postedhá 5 dias,2022-05-01,The Data Science team at Signifyd builds the models that power our fraud detection engine.Our machine learning pipeline keeps us one step ahead of fraudsters…,https://www.br.indeed.com/company/Signifyd/jobs/Data-Scientist-9eae8823bddb1b7a?fccid=fb39f30bde31b5f4&vjs=3
68,ANALISTA INFRAESTRUTURA TI PL - PLATAFORMA CLOUD - 4250 DITI,Banco Bradesco SA,"Osasco, SP",,Postedhá 30+ dias,2022-05-01,"Somos um dos mais modernos Bancos do mundo, referência em inovação e tecnologia.Prática na implementação de Projetos de TI em arquitetura ou desenvolvimento;",https://www.br.indeed.com/rc/clk?jk=41a259d1041d4b46&fccid=dd708ee3271585de&vjs=3
69,Data Scientist,GoIT,"Home office in São Paulo, SP",R$ 6.000 - R$ 12.529 por mês,EmployerAtiva 3 dias atrás,2022-05-01,"Licenciatura em um campo altamente quantitativo (Ciência de Dados, Ciência da Computação, Aprendizado de Máquina, Pesquisa Operacional, Estatística, Matemática,…",https://www.br.indeed.com/company/GOIT/jobs/Data-Scientist-62ccb6e4158ee449?fccid=ef3c998468ed45f5&vjs=3
70,Arquiteto Cloud,Capgemini,"São Paulo, SP",,Postedhá 5 dias,2022-05-01,"Se você compartilha dos mesmos valores, aqui é o seu lugar.Conhecimentos em SPLUNK e Dynatrace;Conhecimentos em SQL, Python ou powershell;",https://www.br.indeed.com/rc/clk?jk=49c1569ab2b390d1&fccid=105ecfd0283f415f&vjs=3
