,vaga,empresa,localização,salário,requisitos
182,Cientista de Dados Junior (remote),AMARO,"Home office in São Paulo, SP",,Ter formação acadêmica em uma ciência quantitativa/campo matemático.Ter experiência com Machine Learning e/ou modelos estatísticos.
183,Analista de Banco de Dados,CROSS – Central de Regulação de Ofertas de...,"São Paulo, SP",,"Otimizar o uso dos recursos computacionais (uso adequado do SGBD, tráfego de dados, armazenamento);Ensino superior em Análise de Sistemas, Sistemas de…"
184,Software Engineer - Observability (Python/Go/Kubernetes),Canonical - Jobs,"São Paulo, SP",,"The monitoring stack will be opinionated, resilient, and scalable, providing deep insights out of the box.The user experience will be polished and seamless for…"
185,Business Intern,SumUp,"São Paulo, SP",,Support business projects in a cross-cultural environment.Optimize processes and analyze automation potentials.Coordinate tasks in a cross-functional team.
186,Pessoa Desenvolvedora Backend Django Python SR,Avivatec,"Home office in São Paulo, SP",,"Nossa rotina é super tech, trabalhamos em um time multidisciplinar com pessoas de engenharia, produtos, design e negócios, utilizando diferentes tecnologias."
187,Analista Pleno BI,Enext,"Home office in São Paulo, SP",,Atenderá tanto demandas internas quanto demandas dos clientes da empresa.Conhecimento avançado em Microsoft Power BI e Google Data Studio.
188,Tech Lead | Remoto,Azos,"Home office in São Paulo, SP",,Liderança do nosso time de desenvolvimento (back e front end);Acompanhar as entregas do time de desenvolvimento junto com o time de Design e Produto;
189,Quality Control Operations Assistant,Gympass,"São Paulo, SP",,Definition and execution of a continuous improvement process in our marketplace.Monitor metrics and proactively surface insights to the leadership team.
190,"Software Engineer, Early Career, Campus (English, Portuguese...",Google,"Home office in São Paulo, SP",,"Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.Experience working in one or more of the following:…"
191,Analista de Dados - EXCLUSIVA PARA PCD,Inklua Servicos Para Inclusao de Pcd Ltda,"Home office in São Paulo, SP",R$ 3.100 - R$ 5.000 por mês,SQL Server e SSDT (Obrigatório).
192,DESENVOLVEDOR FULL STACK - SAO PAULO,OEmprego,"Home office in São Paulo, SP",,Possuir familiaridade com metodologias ágeis;Conhecimento de Javascript e tecnologias web mais recentes (Python);
193,Analista de Políticas e Modelagem de Crédito PL,Credz,"São Paulo, SP",,"Desenvolver, Monitorar e atualizar Políticas e Modelagem de Crédito;Acompanhar o desempenho da Carteira de Crédito, Controlar Inadimplência e Mitigar Riscos;"
194,Estágio - Data Science SP,Visagio,"São Paulo, SP",,"Desenvolver e implantar soluções baseados em Machine Learning, Otimização, Simulação, entre outros;Preferível experiência em atividades extracurriculares (ex:…"
195,Vagas de emprego: Visagio,Visagio,"São Paulo, SP",,"Desenvolver e implantar soluções baseados em Machine Learning, Otimização, Simulação, entre outros;Preferível experiência em atividades extracurriculares (ex:…"
196,Vagas de emprego: Amplifica Digital,Amplifica Digital,"São Paulo, SP",,Somos uma agência de marketing digital especializada em campanhas de performance.Elaborar reports e dashboards para facilitar a tomada de decisão de campanhas…
197,Vagas de emprego: Canonical - Jobs,Canonical - Jobs,"São Paulo, SP",,"The successful candidate will work with a dedicated team on the development and maintenance of our software stack in Go and Python, and help customers integrate…"
198,Tech Mahindra,Tech Mahindra,"São Paulo, SP",,"Nós realmente acreditamos que a tecnologia torna isso possível, mas são as pessoas que fazem isso acontecer."
199,Cornershop by Uber,Cornershop by Uber,"São Paulo, SP",,Perform technical security assessments on Cornershop by Uber's various systems.Generate reports for different internal teams and provide clear and accurate…
200,Westwing,Westwing,"Home office in São Paulo, SP",,Vivência em planejamento estratégico de varejo (e-commerce ou loja física).
201,Vagas de emprego: TikTok,TikTok,"São Paulo, SP",,"Define and execute Resso user operation strategy, including but not limited to user growth, engagement, campaign, communication, etc."
202,Sanar,Sanar,"Home office in São Paulo, SP",,"O time de dados tem como objetivo tornar a Sanar uma empresa mais assertiva e eficiente através de decisões cada vez melhores, seja por estarmos mais embasados…"
203,Vagas de emprego: GeekHunter,GeekHunter,"Home office in São Paulo, SP",R$ 12.000 - R$ 14.000 por ano,"A empresa é a solução completa de Distribuição, Marketing e Inteligência para o mercado hoteleiro.Porque trabalhamos com o Mundo;"
204,Creditas,Creditas,"Home office in São Paulo, SP",,"Nosso time de Product Technology.Com foco na criação da melhor e mais personalizada experiência para clientes da Creditas, o time de Product Technology é…"
205,Porto Seguro,Porto Seguro,"Home office in São Paulo, SP",,Experiência na definição e especificação de projetos de Tech com foco na arquitetura dos sistemas;Conhecimento e atuação prévia em soluções implementadas na…
206,Vagas de emprego: Platform Builders,Platform Builders,"Home office in São Paulo, SP",,"Infrastructure as Code ( e.g Terraform, Cloud Formation );Cloud Computing ( e.g AWS, GCP, Azure);Containers, Microservices Environments ( e.g Openshift,…"
207,Vagas de emprego: Jobbol,Jobbol,"Home office in São Paulo, SP",,"É oferecido contrato Home Office, Plano Médico / Plano Odontológico / Vale Refeição /."
208,Vagas de emprego: Innolevels,Innolevels,"São Paulo, SP",R$ 8.000 - R$ 9.900 por mês,"Tecnologias de big data da AWS (Redshift, S3, EMR, Python, Spark, lambda);Construção / operação de sistemas distribuídos para extração, ingestão e…"
209,Vagas de emprego: Cloudbeds,Cloudbeds,"Home office in São Paulo, SP",,Provide flexibility in working hours and locations;You will wield your expertise in web application software and leverage many years of hospitality data to…
210,MetLife,MetLife,"São Paulo, SP",,Cargo: Assistente de Planejamento Comercial III.Local de trabalho: São Paulo.O mercado de seguros de pessoas no Brasil está em franco crescimento e a MetLife…
211,Vagas de emprego: Centro de Excelência Votorantim BR,Centro de Excelência Votorantim BR,"São Paulo, SP",,"Somos o CoE | Centro de Excelência Votorantim.Acreditamos na evolução contínua, tudo muda, se transforma e se reinventa.Venha fazer parte desse time!"
212,Vagas de emprego: Carguero,Carguero,"São Paulo, SP",,"O Carguero está crescendo... nossos produtos estão atingindo novos patamares, mercados e clientes!E conforme crescemos precisamos de mais pessoas para atender…"
213,Ame Digital,Ame Digital,"São Paulo, SP",,Uma fintech trabalhando para simplificar e revolucionar a maneira como as pessoas se relacionam com o dinheiro.Quer saber mais sobre a gente?
214,Whirlpool Corporation,Whirlpool Corporation,"Home office in São Paulo, SP",,"A Whirlpool Corporation (NYSE: WHR) é a empresa líder mundial em eletrodomésticos para cozinha e lavanderia, com aproximadamente US$ 19 bilhões em vendas anuais…"
215,Vagas de emprego: Vem Pra Vivo,Vem Pra Vivo,"São Paulo, SP",,"Local de Trabalho: Sede EcoBerrini São Paulo/SP.Profissional responsável por desenvolver, gerir e acompanhar os KPI's de logística dando visibilidade de toda a…"
216,Vagas de emprego: Axonius,Axonius,"São Paulo, SP",,"Axonius is the cybersecurity asset management platform that gives organizations a comprehensive asset inventory, uncovers gaps, and automatically validates and…"
217,Accenture,Accenture,"São Paulo, SP",,"A Accenture é uma empresa global feita de pessoas apaixonadas pelo novo.De gente curiosa, investigativa, que não tem medo de arriscar e propor soluções fora…"
218,Lojas Renner,Lojas Renner,"São Paulo, SP",,"Experiência em elaboração de scripts (PowerShell, Shell Scripts e python);Venha fazer parte do nosso time de ecommerce!Experiência em GitLabs para CI/CD;"
219,Schneider Electric,Schneider Electric,"Jurubatuba, SP",,"Location: Sao Paulo Brazil, or remote.The Renewable Energy Performance Analyst will deliver and assist in the delivery of high-impact services and digital…"
220,Vivo Digital,Vivo Digital,"São Paulo, SP",,"Estamos a recrutar um colaborador(a) para Diretoria de Tecnologia de Informação, no site da Chucri Zaidan para exercer a função de Analista funcional E2E,…"
221,Cielo,Cielo,"Home office in Barueri, SP",,"Buscamos pessoas que são conectadas com a transformação digital, que gostam de aprender novas soluções e compartilhá-las.O dia-a-dia será fazendo o seguinte:"
222,Vagas de emprego: Prometeo Talent,Prometeo Talent,"Home office in São Paulo, SP",,"A Salesforce Partner since 2008, Customertimes provides Salesforce implementation services, ISV products, and outsourcing to customers in 63 countries around…"
223,IAV do Brasil,IAV do Brasil,"São Paulo, SP",,A Vaga: Analista de desenvolvimento do Produto - Controles e Modelagem.A Empresa: IAV é uma das companhias líderes mundiais na prestação de serviços em…
224,Vagas de emprego: Keyrus Brazil,Keyrus Brazil,"São Paulo, SP",,"A Keyrus acredita na diversidade e na inclusão.Encorajamos a todos a participarem em nosso processo de contratação, não importando o gênero, idade, raça,…"
