,vaga,empresa,localizacao,salario,dataPostagem,dataRaspagem,requisitos,job_url
56,Vagas de emprego: Digital Republic,Digital Republic,"São Paulo, SP",,Postedhá 24 dias,2022-05-06,Posição para atuar em projetos internacionais de alta visibilidade para empresas de diversos portes e segmentos. Aplique seus conhecimentos em projetos…,
57,Vagas de emprego: Kikker,Kikker,"São Paulo, SP",R$ 2.000 - R$ 4.000 por mês,Postedhá 24 dias,2022-05-06,Desejável Conhecimento em Git; Conhecimento em consumo de APIs; Compreensão de inglês técnico.,
58,Vagas de emprego: Cloudbeds,Cloudbeds,"Home office in São Paulo, SP",,PostedHoje,2022-05-06,"We create advanced cloud-based hospitality software for hotels, hostels, and hotel groups that manages reservations and guests, distributes room availability,…",
59,Vagas de emprego: Pagaleve,Pagaleve,"São Paulo, SP",,Postedhá 8 dias,2022-05-06,Você também vai interagir com o time de engenharia para fornecer insights e ideias para melhorias na plataforma de tecnologia para agilizar o processo de…,
60,MQ Distribuída - Analista de Suporte Técnico - Pleno,IBM,"São Paulo, SP",,PostedHoje,2022-05-06,"Na IBM, o trabalho é mais que uma tarefa.É um chamado para construir.Fornecer solução de problemas e aconselhamento técnico para clientes da IBM.",https://www.br.indeed.com/rc/clk?jk=408a9317200e3c50&fccid=de71a49b535e21cb&vjs=3
61,Estagiário Desenvolvimento WEB Front-End,Class Solutions,"São Paulo, SP",,Postedhá 30 dias,2022-05-06,Atuará em atividades de Desenvolvimento de Soluções de web Front End para soluções Internas de empresas clientes.,https://www.br.indeed.com/rc/clk?jk=d0fca9b9786d6d59&fccid=d12ef9849a0516b7&vjs=3
62,Desenvolvedor(a) Front-End,E4 Agência,"São Paulo, SP",,Postedhá 17 dias,2022-05-06,Requisitos Experiência com Wordpress; Tecnologias Front-End; Conhecimento sobre plugins shortcodes; Domínio sobre HTML e CSS; Conhecimento sobre javascript;…,https://www.br.indeed.com/rc/clk?jk=f44fbb182bab7b5d&fccid=df3a352d689a2d41&vjs=3
63,Desenvolvedor Web,Evoi Publicidade,"São Paulo, SP",R$ 2.100 por mês,EmployerAtiva 3 dias atrás,2022-05-06,Colaborar com automação de processos em plataformas de marketing.,https://www.br.indeed.com/company/Evoi-Publicidade/jobs/Desenvolvedor-Web-63684da59c48070e?fccid=37fc7b0ef9000391&vjs=3
64,Product Designer,JOTA Jornalismo SA,"Home office in São Paulo, SP",,Postedhá 16 dias,2022-05-06,O JOTA está em busca de um/a product designer para integrar o squad de desenvolvimento do portal do JOTA.Escrever histórias dos usuários a partir da geração de…,https://www.br.indeed.com/rc/clk?jk=b32a5c39bf808d41&fccid=c4cc0c67dd7dd43c&vjs=3
65,"Fullstack Node/Vue.js Developer - Júnior [Remoto, Brasil]",Martin Luz,"Home office in São Paulo, SP",R$ 3.500 - R$ 4.000 por mês,PostedHoje,2022-05-06,"Contribuir com o desenvolvimento de um novo produto, basicamente do zero;Sempre procuram aprender mais sobre tecnologia;",https://www.br.indeed.com/rc/clk?jk=842617ed95f79d06&fccid=f5ba7c505cbe31c3&vjs=3
66,Desenvolvedor(a) Web Front-End,Focus Têxtil,"São Paulo, SP",,Postedhá 17 dias,2022-05-06,"Desejável jQuery; Angular; SASS ou LESS (básico); Bibliotecas javascript; Conhecimentos em manipulação de PDF, excel, ou imagens com javascript client-side;…",https://www.br.indeed.com/rc/clk?jk=578b6386f803c50d&fccid=0cca2d07c13c31e9&vjs=3
67,Desenvolvedor(a) Front-end (remoto) HTML,GeekHunter,"Home office in São Paulo, SP",R$ 3.500 - R$ 4.000 por mês,Postedhá 22 dias,2022-05-06,"Interacao com time de backend.Experiencia com HTML, Javascript (React) e CSS.Desenvolvimento de paginas/dashboards responsivas, compatibilidade multi-browser…",https://www.br.indeed.com/rc/clk?jk=9272fb366c0e6d8c&fccid=9ba8dec3013c0c90&vjs=3
68,Pessoa Desenvolvedora Front-end,Webjump,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Conhecimento/experiência em JavaScript, HTML5, CSS3;Experiência com ferramentas de versionamento de código (GIT, por exemplo);",https://www.br.indeed.com/rc/clk?jk=c744ede20363f2f8&fccid=55e0ac93fb8b211b&vjs=3
69,Desenvolvedor Front End - Todo o Brasil,Grupo DPSP – Drogarias Pacheco São Paulo,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,Nosso escritório está localizado na Vila Leopoldina (Zona Oeste) - próximo à estação Villa Lobos – Jaguaré.,https://www.br.indeed.com/rc/clk?jk=70fc812e514f683b&fccid=d88bd850b48fcb49&vjs=3
70,Estagiário de Dados,BEGREEN FAZENDAS URBANAS LTDA,"Home office in São Paulo, SP",,EmployerAtiva 1 dia atrás,2022-05-06,"Somos a BeGreen, a primeira fazenda urbana da América da Latina.Conhecimento com ferramentas de visualização de dados (Tableau, Qlik Sense, Data Studio, Power…",https://www.br.indeed.com/company/Begreen-fazendas-urbanas-Llda/jobs/Estagi%C3%A1rio-Dados-54cfd62ba83529ea?fccid=cb0ac5611980afed&vjs=3
71,IT Developer,Santander,"São Paulo, SP",,Postedhá 1 dia,2022-05-06,Linguagem de programação Java 8 > ;Construção de aplicações WEB baseada em micro serviços;Framework Spring Boot e CAMEL;,https://www.br.indeed.com/rc/clk?jk=3985d759104ee184&fccid=e57a47a3d1d90e39&vjs=3
72,Desenvolvedor Front-End - Hibrida #408,iBlue Consulting,"São Paulo, SP",,Postedhá 24 dias,2022-05-06,Trabalhar junto com o squad para garantir que a melhor solução será implementada;Garantir alta qualidade da plataformas e consistência com a marca;,https://www.br.indeed.com/rc/clk?jk=0f88518349f431de&fccid=cd699d24e4f5fb6c&vjs=3
73,Desenvolvedor(a) Wordpress,INTRANET MALL,"São Paulo, SP",,Postedhá 6 dias,2022-05-06,Estamos com uma vaga em aberta para Desenvolver Wordpress.,https://www.br.indeed.com/rc/clk?jk=f0b1a69525d43f24&fccid=10eaa303fb5c21ab&vjs=3
74,Desenvolvedor Front-End,W5 Publicidade,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Diagramar os projetos seguindo o layout.Experiência comprovada na área (3 a 6 anos).Experiência comprovadas com JavaScript, Jquery, HTML e CSS.",https://www.br.indeed.com/rc/clk?jk=3d8350053b1abaac&fccid=d33cb707b0ff8482&vjs=3
75,Desenvolvedor(a) Wordpress,INTRANET MALL,"São Paulo, SP",,Postedhá 6 dias,2022-05-06,Estamos com uma vaga em aberta para Desenvolver Wordpress.,https://www.br.indeed.com/rc/clk?jk=f0b1a69525d43f24&fccid=10eaa303fb5c21ab&vjs=3
76,Desenvolvedor Front-End,W5 Publicidade,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Diagramar os projetos seguindo o layout.Experiência comprovada na área (3 a 6 anos).Experiência comprovadas com JavaScript, Jquery, HTML e CSS.",https://www.br.indeed.com/rc/clk?jk=3d8350053b1abaac&fccid=d33cb707b0ff8482&vjs=3
77,Desenvolvedor Front-end,Matrix Energia,"São Paulo, SP",,Postedhá 30+ dias,2022-05-06,"Experiência em tecnologias como HTML, Javascript, HTML5, CSS3 , Bootstrap e Typescript;Experiência em frameworks de Front-end como React, Angular, JQuery e Vue…",https://www.br.indeed.com/rc/clk?jk=d3b1213db1a57cd5&fccid=ecbe529b7fab5e39&vjs=3
78,JavaScript Developer,DNA325,"São Paulo, SP",R$ 19.500 por mês,EmployerAtiva 8 dias atrás,2022-05-06,"This includes optimizing applications, ensuring UI/UX feasibility, and implementing API designs and architecture.Full-stack web development experience;",https://www.br.indeed.com/company/DNA325/jobs/Javascript-Developer-c728735bf709d10b?fccid=dfe8e6d9e7370cb0&vjs=3
79,Programador PHP PLENO,Maxnivel Tecnologia Ltda,"Home office in São Paulo, SP",R$ 6.000 - R$ 8.000 por mês,EmployerAtiva 7 dias atrás,2022-05-06,Experiência em php e mysql javascript orientação a objeto.Atuação em atividades de programação de software.,https://www.br.indeed.com/company/Maxnivel-Tecnologia-Ltda/jobs/Programador-PHP-Pleno-b7f0c654593af7b0?fccid=ed27e511a224a841&vjs=3
80,Pessoa Desenvolvedora Junior,Zarpo Viagens,"Home office in São Paulo, SP",,Postedhá 30+ dias,2022-05-06,Tornar o mundo um lugar melhor é nosso desejo.Desenvolver novos recursos e oferecer suporte para diferentes aplicações da Zarpo;,https://www.br.indeed.com/rc/clk?jk=abf8dac697746150&fccid=05c5f328763329d0&vjs=3
