,vaga,empresa,localização,salário,requisitos
24,Vagas de emprego: R&SSOUZA,R&SSOUZA,"Home office in São Paulo, SP",R$ 7.000 - R$ 10.000 por mês,"Experiência de 05 anos na ou mais.Experiências em Python e seus frameworks como Django, Flask, FastAPI e afins / Bancos de dados relacionais como Postgres,…"
25,Gympass,Gympass,"São Paulo, SP",,"Execution of daily work, involving the execution of Python scripts, creation, and maintenance of SQL queries, editing Partners profiles on the CRM/Salesforce."
26,Vagas de emprego: BANCO BBC Digital,BANCO BBC Digital,"São Paulo, SP",,Desejável experiência em construção de Dashboards em PowerBI.
27,vagas de emprego: Barueri,,"Barueri, SP",R$ 3.500 por mês,"Estamos na vanguarda das tecnologias de engenharia do futuro, com soluções que garantem o sucesso de nossos clientes em setores-chave que estão moldando o…"
28,Wipro Limited,Wipro Limited,"São Paulo, SP",,Experience in testing distributed Cloud based applications.Understand existing test cases and develop new ones.Good understanding of CI/CD pipeline.
29,Abril Comunicações,Abril Comunicações,"Home office in São Paulo, SP",R$ 5.000 - R$ 5.500 por mês,"Montagem de um data lake da empresa, incialmente voltado para área de assinaturas, e envolvendo a parte de audiência de sites, dados de assinaturas, assinantes…"
30,Buonny,Buonny,"São Paulo, SP",,"Estruturação de base de dados para análise comerciais;Conhecimento de Big Data (Spark, Cloudera, Hadoop) e Python;Modelagem de dados SQL/Teradata, Big Data;"
31,Vagas de emprego: Flix,Flix,"São Paulo, SP",,"Conhecimento em linguagens de programação de análise de dados (R, Python, Hadoop e SQL);Visualização de Dados; Data Mining, Machine Learning;"
32,WMS,WMS,"Home office in São Paulo, SP",R$ 1.403 por mês,"Devido à evolução tecnológica do marketing, o mercado de publicidade gera cada vez mais dados, o que torna a área responsável pela extração, tratamento e…"
33,Vagas de emprego: Cescon Barrieu,Cescon Barrieu,"São Paulo, SP",,Aqui você encontra um ambiente amigável e muitas oportunidades para trabalhar em operações e nos casos mais interessantes e relevantes do Brasil.
34,Vagas de emprego: Clearsale,Clearsale,"Home office in São Paulo, SP",,Tem segurança na tomada de decisões que podem gerar grandes impactos;Sabe trabalhar em equipe (acreditamos muito “nós” ao invés de “eu”);
35,Vagas de emprego: Shopee,Shopee,"São Paulo, SP",,Garantir que as métricas dos produtos andem alinhadas com os objetivos da empresa.
